arm,arm_label,clock,shock,n_book_ledgers,n_price_paths,book_survival,wilson_ci95_lo_pct,wilson_ci95_hi_pct,wilson_unclustered_lo_pct,wilson_unclustered_hi_pct,design_effect,night_minus_work_pp,night_minus_work_ci95_lo_pp,night_minus_work_ci95_hi_pp,change_covers_zero
A,"A · agent, always on",work,all,800,400,0.785000,75.2068,81.4636,75.5205,81.2071,1.2113,,,,
A,"A · agent, always on",work,grind,200,100,1.000000,,,,,,,,,
A,"A · agent, always on",work,crash,200,100,1.000000,,,,,,,,,
A,"A · agent, always on",work,wick-persist,200,100,0.570000,,,,,,,,,
A,"A · agent, always on",work,wick-1block,200,100,0.570000,,,,,,,,,
A,"A · agent, always on",night,all,800,400,0.798750,76.6894,82.7234,76.9569,82.5075,1.1822,1.3750,-3.3700,6.0685,yes
A,"A · agent, always on",night,grind,200,100,1.000000,,,,,,,,,
A,"A · agent, always on",night,crash,200,100,1.000000,,,,,,,,,
A,"A · agent, always on",night,wick-persist,200,100,0.580000,,,,,,,,,
A,"A · agent, always on",night,wick-1block,200,100,0.615000,,,,,,,,,
H1,"H1 · human, always on",work,all,800,400,0.676250,63.5526,71.4468,64.3051,70.7765,1.4911,,,,
H1,"H1 · human, always on",work,grind,200,100,1.000000,,,,,,,,,
H1,"H1 · human, always on",work,crash,200,100,1.000000,,,,,,,,,
H1,"H1 · human, always on",work,wick-persist,200,100,0.310000,,,,,,,,,
H1,"H1 · human, always on",work,wick-1block,200,100,0.395000,,,,,,,,,
H1,"H1 · human, always on",night,all,800,400,0.688750,64.9154,72.5765,65.5828,71.9868,1.4336,1.2500,-4.7185,7.3272,yes
H1,"H1 · human, always on",night,grind,200,100,1.000000,,,,,,,,,
H1,"H1 · human, always on",night,crash,200,100,1.000000,,,,,,,,,
H1,"H1 · human, always on",night,wick-persist,200,100,0.320000,,,,,,,,,
H1,"H1 · human, always on",night,wick-1block,200,100,0.435000,,,,,,,,,
H2,"H2 · human, realistic",work,all,800,400,0.275000,23.6073,31.7677,24.5189,30.6961,1.7499,,,,
H2,"H2 · human, realistic",work,grind,200,100,0.740000,,,,,,,,,
H2,"H2 · human, realistic",work,crash,200,100,0.235000,,,,,,,,,
H2,"H2 · human, realistic",work,wick-persist,200,100,0.000000,,,,,,,,,
H2,"H2 · human, realistic",work,wick-1block,200,100,0.125000,,,,,,,,,
H2,"H2 · human, realistic",night,all,800,400,0.040000,2.7130,5.8607,2.8475,5.5922,1.3068,-23.5000,-28.2616,-18.8384,no
H2,"H2 · human, realistic",night,grind,200,100,0.035000,,,,,,,,,
H2,"H2 · human, realistic",night,crash,200,100,0.000000,,,,,,,,,
H2,"H2 · human, realistic",night,wick-persist,200,100,0.000000,,,,,,,,,
H2,"H2 · human, realistic",night,wick-1block,200,100,0.125000,,,,,,,,,
H3,"H3 · human, asleep 23–07",work,all,800,400,0.285000,24.5488,32.8106,25.4805,31.7250,1.7553,,,,
H3,"H3 · human, asleep 23–07",work,grind,200,100,0.780000,,,,,,,,,
H3,"H3 · human, asleep 23–07",work,crash,200,100,0.235000,,,,,,,,,
H3,"H3 · human, asleep 23–07",work,wick-persist,200,100,0.000000,,,,,,,,,
H3,"H3 · human, asleep 23–07",work,wick-1block,200,100,0.125000,,,,,,,,,
H3,"H3 · human, asleep 23–07",night,all,800,400,0.056250,3.9688,7.9153,4.2302,7.4439,1.4988,-22.8750,-27.9280,-17.9101,no
H3,"H3 · human, asleep 23–07",night,grind,200,100,0.100000,,,,,,,,,
H3,"H3 · human, asleep 23–07",night,crash,200,100,0.000000,,,,,,,,,
H3,"H3 · human, asleep 23–07",night,wick-persist,200,100,0.000000,,,,,,,,,
H3,"H3 · human, asleep 23–07",night,wick-1block,200,100,0.125000,,,,,,,,,
P,"P · passive, never acts",work,all,800,400,0.031250,2.1214,4.5812,2.1255,4.5725,1.0103,,,,
P,"P · passive, never acts",work,grind,200,100,0.000000,,,,,,,,,
P,"P · passive, never acts",work,crash,200,100,0.000000,,,,,,,,,
P,"P · passive, never acts",work,wick-persist,200,100,0.000000,,,,,,,,,
P,"P · passive, never acts",work,wick-1block,200,100,0.125000,,,,,,,,,
P,"P · passive, never acts",night,all,800,400,0.031250,2.0786,4.6731,2.1255,4.5725,1.1204,0.0000,-1.7493,1.7773,yes
P,"P · passive, never acts",night,grind,200,100,0.000000,,,,,,,,,
P,"P · passive, never acts",night,crash,200,100,0.000000,,,,,,,,,
P,"P · passive, never acts",night,wick-persist,200,100,0.000000,,,,,,,,,
P,"P · passive, never acts",night,wick-1block,200,100,0.125000,,,,,,,,,
