cell,shock,clock,books,paired_gap_bps,cluster
wick-1block-work-b1,wick-1block,work,1,-1.925752,negligible
wick-1block-work-b1,wick-1block,work,1,-1.925752,negligible
wick-1block-work-b1,wick-1block,work,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-work-b1,wick-1block,work,1,-1.925752,negligible
wick-1block-work-b1,wick-1block,work,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-work-b1,wick-1block,work,1,-1.925752,negligible
wick-1block-night-b1,wick-1block,night,1,-1.925752,negligible
wick-1block-night-b3,wick-1block,night,3,-1.283835,negligible
wick-1block-work-b3,wick-1block,work,3,-1.283835,negligible
wick-1block-work-b3,wick-1block,work,3,-0.641917,negligible
wick-1block-work-b3,wick-1block,work,3,-0.641917,negligible
wick-1block-work-b3,wick-1block,work,3,-0.641917,negligible
wick-1block-work-b3,wick-1block,work,3,-0.641917,negligible
wick-1block-work-b3,wick-1block,work,3,-0.641917,negligible
wick-1block-work-b3,wick-1block,work,3,-0.641917,negligible
wick-1block-night-b3,wick-1block,night,3,-0.641917,negligible
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b1,wick-persist,work,1,0.000000,tie
wick-persist-work-b3,wick-persist,work,3,0.000000,tie
wick-persist-work-b3,wick-persist,work,3,0.000000,tie
wick-persist-work-b3,wick-persist,work,3,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b1,wick-persist,night,1,0.000000,tie
wick-persist-night-b3,wick-persist,night,3,0.000000,tie
wick-persist-night-b3,wick-persist,night,3,0.000000,tie
wick-persist-night-b3,wick-persist,night,3,0.000000,tie
wick-persist-night-b3,wick-persist,night,3,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b1,wick-1block,work,1,0.000000,tie
wick-1block-work-b3,wick-1block,work,3,0.000000,tie
wick-1block-work-b3,wick-1block,work,3,0.000000,tie
wick-1block-work-b3,wick-1block,work,3,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b1,wick-1block,night,1,0.000000,tie
wick-1block-night-b3,wick-1block,night,3,0.000000,tie
wick-1block-night-b3,wick-1block,night,3,0.000000,tie
wick-1block-night-b3,wick-1block,night,3,0.000000,tie
wick-1block-night-b3,wick-1block,night,3,0.000000,tie
grind-work-b1,grind,work,1,0.004672,negligible
grind-work-b1,grind,work,1,0.004868,negligible
grind-work-b1,grind,work,1,0.005073,negligible
grind-work-b3,grind,work,3,0.005413,negligible
grind-work-b1,grind,work,1,0.006473,negligible
grind-work-b3,grind,work,3,0.007147,negligible
grind-work-b1,grind,work,1,0.008155,negligible
grind-work-b3,grind,work,3,0.008737,negligible
grind-work-b3,grind,work,3,0.009359,negligible
grind-work-b1,grind,work,1,0.009575,negligible
grind-work-b3,grind,work,3,0.009636,negligible
grind-work-b1,grind,work,1,0.009907,negligible
grind-work-b3,grind,work,3,0.011161,negligible
grind-work-b3,grind,work,3,0.011875,negligible
grind-work-b3,grind,work,3,0.012040,negligible
grind-work-b3,grind,work,3,0.012123,negligible
grind-work-b1,grind,work,1,0.012684,negligible
grind-work-b1,grind,work,1,0.014094,negligible
grind-work-b3,grind,work,3,0.014915,negligible
grind-work-b3,grind,work,3,0.015851,negligible
grind-work-b1,grind,work,1,0.016363,negligible
grind-work-b1,grind,work,1,0.016391,negligible
grind-work-b3,grind,work,3,0.017551,negligible
grind-work-b3,grind,work,3,0.019176,negligible
grind-work-b3,grind,work,3,0.019526,negligible
grind-work-b3,grind,work,3,0.022615,negligible
grind-work-b1,grind,work,1,0.026383,negligible
grind-work-b1,grind,work,1,0.027234,negligible
grind-work-b1,grind,work,1,0.028004,negligible
grind-work-b1,grind,work,1,0.028038,negligible
grind-work-b1,grind,work,1,0.028146,negligible
grind-work-b3,grind,work,3,0.028779,negligible
grind-work-b3,grind,work,3,0.029493,negligible
grind-work-b3,grind,work,3,0.029671,negligible
grind-work-b3,grind,work,3,0.031134,negligible
grind-work-b1,grind,work,1,0.032528,negligible
grind-work-b3,grind,work,3,0.034313,negligible
grind-work-b1,grind,work,1,0.035073,negligible
grind-work-b3,grind,work,3,0.035759,negligible
grind-work-b3,grind,work,3,0.036092,negligible
grind-work-b1,grind,work,1,0.037226,negligible
grind-work-b1,grind,work,1,0.041492,negligible
grind-work-b3,grind,work,3,0.041842,negligible
grind-work-b3,grind,work,3,0.042274,negligible
grind-night-b1,grind,night,1,0.042977,negligible
grind-night-b1,grind,night,1,0.043161,negligible
grind-work-b3,grind,work,3,0.043496,negligible
grind-work-b1,grind,work,1,0.044895,negligible
grind-work-b3,grind,work,3,0.046545,negligible
grind-work-b3,grind,work,3,0.048015,negligible
grind-work-b3,grind,work,3,0.048419,negligible
grind-work-b1,grind,work,1,0.049163,negligible
grind-work-b3,grind,work,3,0.049929,negligible
grind-work-b1,grind,work,1,0.050029,negligible
grind-work-b3,grind,work,3,0.051486,negligible
grind-work-b1,grind,work,1,0.051867,negligible
grind-work-b1,grind,work,1,0.052295,negligible
grind-work-b1,grind,work,1,0.053722,negligible
grind-work-b1,grind,work,1,0.055828,negligible
grind-work-b1,grind,work,1,0.059089,negligible
grind-work-b3,grind,work,3,0.060033,negligible
grind-work-b3,grind,work,3,0.063164,negligible
grind-work-b1,grind,work,1,0.063188,negligible
grind-work-b3,grind,work,3,0.064289,negligible
grind-night-b1,grind,night,1,0.066917,negligible
grind-work-b1,grind,work,1,0.071796,negligible
grind-night-b1,grind,night,1,0.072837,negligible
grind-work-b3,grind,work,3,0.073308,negligible
grind-night-b3,grind,night,3,0.081845,negligible
grind-work-b1,grind,work,1,0.082308,negligible
grind-work-b3,grind,work,3,0.086144,negligible
grind-work-b3,grind,work,3,0.087775,negligible
grind-work-b1,grind,work,1,0.096487,negligible
grind-work-b1,grind,work,1,0.111626,negligible
grind-work-b3,grind,work,3,0.123818,negligible
grind-work-b1,grind,work,1,0.125127,negligible
grind-work-b1,grind,work,1,0.126952,negligible
grind-work-b1,grind,work,1,0.144819,negligible
grind-work-b1,grind,work,1,0.185852,negligible
crash-work-b1,crash,work,1,0.193223,negligible
crash-work-b3,crash,work,3,0.195933,negligible
crash-work-b3,crash,work,3,0.211569,negligible
crash-work-b1,crash,work,1,0.216365,negligible
crash-work-b1,crash,work,1,0.218329,negligible
crash-work-b1,crash,work,1,0.219031,negligible
crash-work-b1,crash,work,1,0.219074,negligible
crash-work-b1,crash,work,1,0.219945,negligible
crash-work-b1,crash,work,1,0.220528,negligible
crash-work-b1,crash,work,1,0.220830,negligible
crash-work-b1,crash,work,1,0.220927,negligible
crash-work-b1,crash,work,1,0.223286,negligible
crash-work-b1,crash,work,1,0.223306,negligible
crash-work-b1,crash,work,1,0.224939,negligible
crash-work-b1,crash,work,1,0.227626,negligible
crash-work-b1,crash,work,1,0.229343,negligible
crash-work-b1,crash,work,1,0.229958,negligible
crash-work-b1,crash,work,1,0.256722,negligible
crash-work-b1,crash,work,1,0.258869,negligible
crash-work-b1,crash,work,1,0.267909,negligible
grind-night-b3,grind,night,3,32.222444,material
crash-work-b3,crash,work,3,40.208449,material
grind-night-b3,grind,night,3,47.720070,material
crash-work-b3,crash,work,3,49.096263,material
crash-work-b3,crash,work,3,49.614502,material
crash-work-b3,crash,work,3,50.190112,material
grind-work-b1,grind,work,1,51.364489,material
grind-night-b3,grind,night,3,51.731540,material
grind-night-b3,grind,night,3,52.830530,material
grind-night-b1,grind,night,1,53.167227,material
grind-night-b3,grind,night,3,54.286789,material
grind-work-b3,grind,work,3,55.111601,material
crash-work-b3,crash,work,3,55.193209,material
grind-night-b3,grind,night,3,55.455167,material
grind-night-b1,grind,night,1,56.103718,material
grind-night-b1,grind,night,1,57.037233,material
crash-work-b3,crash,work,3,58.372986,material
crash-work-b3,crash,work,3,59.650650,material
grind-work-b1,grind,work,1,60.706083,material
crash-work-b3,crash,work,3,60.853071,material
grind-work-b3,grind,work,3,61.897986,material
grind-night-b3,grind,night,3,62.274500,material
crash-work-b3,crash,work,3,64.303426,material
crash-work-b3,crash,work,3,65.147070,material
grind-night-b3,grind,night,3,66.021946,material
grind-night-b1,grind,night,1,66.440886,material
grind-night-b1,grind,night,1,66.475927,material
grind-night-b3,grind,night,3,66.575379,material
grind-night-b3,grind,night,3,66.909496,material
grind-night-b1,grind,night,1,67.511636,material
